net,length_um
clknet_1_0__leaf_clk,93.24
clknet_1_1__leaf_clk,85.22
_040_,52.64
display.digit_select\[2\],33.24
display.refresh_counter\[10\],31.32
clknet_0_clk,30.16
_055_,29.51
display.refresh_counter\[5\],29.375
display.refresh_counter\[4\],29.24
display.refresh_counter\[14\],29.14
display.digit_select\[1\],27.9
_031_,27.1
display.refresh_counter\[12\],26.62
clk,26.53
_049_,26.155
_024_,25.82
display.refresh_counter\[9\],22.74
display.refresh_counter\[8\],22.06
display.refresh_counter\[2\],22.02
net33,21.47
display.refresh_counter\[3\],21.34
display.refresh_counter\[6\],19.96
_020_,19.54
display.refresh_counter\[15\],18.48
display.refresh_counter\[13\],18.46
net32,18.13
_058_,17.24
net7,16.87
_041_,16.56
net18,16.31
net40,16.04
net12,15.95
display.refresh_counter\[1\],15.52
display.refresh_counter\[16\],15.34
_025_,15.28
_060_,15.26
display.refresh_counter\[0\],15.18
_048_,15.06
display.refresh_counter\[7\],14.42
net28,13.29
_044_,13.06
net8,12.91
display.refresh_counter\[11\],12.58
net1,12.5
net2,12.16
net11,12.09
net17,11.91
net34,11.79
_023_,11.72
_056_,11.72
_026_,11.66
_009_,11.32
_047_,10.96
net57,10.92
net38,10.41
display.digit_select\[0\],10.26
_063_,10
net44,9.58
_037_,9.5
net41,9.4
net42,9.4
net26,9.19
net29,8.72
net35,8.72
net59,8.6
net56,8.5
_003_,8.405
net37,7.81
net20,7.79
_021_,7.7
_034_,7.7
_036_,7.66
net43,7.37
net54,7.22
net58,7.1
net3,7.06
_008_,6.905
net53,6.76
net22,6.67
_038_,6.6
_028_,6.5
_050_,6.48
_017_,6.465
_046_,6.26
an[1],6.21
net48,6.06
net55,5.985
net27,5.97
net39,5.97
net46,5.86
_052_,5.84
_005_,5.8
net36,5.77
net5,5.75
_030_,5.68
an[0],5.53
_054_,5.46
net49,5.38
_057_,5.22
an[2],5.19
an[3],5.19
net25,5.07
_004_,5.045
_029_,4.88
net19,4.61
net23,4.61
net24,4.61
net30,4.61
net31,4.61
net9,4.61
net10,4.61
net14,4.61
net6,4.39
net16,4.39
net21,4.39
net13,4.39
net15,4.27
_022_,4.2
_051_,4.12
_027_,4.02
_012_,3.88
_002_,3.78
_033_,3.54
net4,3.54
_018_,3.505
net52,3.505
_062_,3.42
net51,3.42
_000_,3.245
net50,3.175
_011_,3.145
_042_,3.08
_043_,3.08
_014_,3.005
_059_,2.96
_001_,2.885
_006_,2.885
_007_,2.885
_015_,2.86
_010_,2.485
_016_,2.42
_061_,2.38
_013_,2.375
_035_,2.18
_032_,2.06
_053_,2.04
_019_,2.025
net47,1.72
net45,1.38
net60,1.38
_045_,1.26
_039_,0.92
